사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2021-01,1호선,1,서울역,"731,660","678,117","127,534","118,937",2021-02-03 09:49:34
2021-01,1호선,10,동묘앞,"98,645","105,308","113,919","115,644",2021-02-03 09:49:34
2021-01,1호선,2,시청,"371,942","366,139","46,231","43,433",2021-02-03 09:49:34
2021-01,1호선,3,종각,"598,363","567,563","84,544","78,565",2021-02-03 09:49:34
2021-01,1호선,4,종로3가,"313,943","281,737","187,603","175,431",2021-02-03 09:49:34
2021-01,1호선,5,종로5가,"292,654","292,561","174,460","166,963",2021-02-03 09:49:34
2021-01,1호선,6,동대문,"168,863","158,577","84,638","83,489",2021-02-03 09:49:34
2021-01,1호선,7,신설동,"219,283","218,343","82,995","79,139",2021-02-03 09:49:34
2021-01,1호선,8,제기동,"195,353","192,588","204,956","219,996",2021-02-03 09:49:34
2021-01,1호선,9,청량리(서울시립대입구),"266,539","264,050","205,089","206,452",2021-02-03 09:49:34
2021-01,2호선,11,시청,"432,828","412,117","34,283","29,974",2021-02-03 09:49:34
2021-01,2호선,12,을지로입구,"739,976","744,333","66,638","62,076",2021-02-03 09:49:34
2021-01,2호선,13,을지로3가,"373,645","363,847","51,829","49,872",2021-02-03 09:49:34
2021-01,2호선,14,을지로4가,"205,245","201,486","73,038","72,596",2021-02-03 09:49:34
2021-01,2호선,15,동대문역사문화공원(DDP),"209,129","235,813","36,571","37,954",2021-02-03 09:49:34
2021-01,2호선,16,신당,"239,931","249,701","68,625","70,543",2021-02-03 09:49:34
2021-01,2호선,17,상왕십리,"259,608","253,994","44,134","44,654",2021-02-03 09:49:34
2021-01,2호선,18,왕십리(성동구청),"300,199","251,270","35,652","31,118",2021-02-03 09:49:34
2021-01,2호선,19,한양대,"129,871","132,547","8,498","8,676",2021-02-03 09:49:34
2021-01,2호선,20,뚝섬,"394,955","422,853","39,132","39,743",2021-02-03 09:49:34
2021-01,2호선,21,성수,"644,705","700,437","75,727","77,354",2021-02-03 09:49:34
2021-01,2호선,22,건대입구,"690,331","738,443","60,055","62,779",2021-02-03 09:49:34
2021-01,2호선,23,구의(광진구청),"447,681","445,682","70,771","73,212",2021-02-03 09:49:34
2021-01,2호선,24,강변(동서울터미널),"577,923","571,129","71,782","69,627",2021-02-03 09:49:34
2021-01,2호선,25,잠실나루,"243,129","235,661","52,649","52,643",2021-02-03 09:49:34
2021-01,2호선,26,잠실(송파구청),"1,292,398","1,272,320","116,298","111,414",2021-02-03 09:49:34
2021-01,2호선,27,잠실새내,"384,354","386,088","65,709","65,713",2021-02-03 09:49:34
2021-01,2호선,28,종합운동장,"114,173","124,450","21,269","21,935",2021-02-03 09:49:34
2021-01,2호선,29,삼성(무역센터),"966,500","966,030","73,290","66,052",2021-02-03 09:49:34
2021-01,2호선,30,선릉,"1,004,723","890,186","147,715","130,905",2021-02-03 09:49:34
2021-01,2호선,31,역삼,"935,413","1,006,625","101,878","100,568",2021-02-03 09:49:34
2021-01,2호선,32,강남,"1,614,913","1,568,467","119,946","106,612",2021-02-03 09:49:34
2021-01,2호선,33,교대(법원.검찰청),"608,706","673,289","95,239","104,692",2021-02-03 09:49:34
2021-01,2호선,34,서초,"392,513","378,940","47,219","46,431",2021-02-03 09:49:34
2021-01,2호선,35,방배,"309,626","324,495","47,907","47,201",2021-02-03 09:49:34
2021-01,2호선,36,사당,"664,395","731,174","110,553","105,547",2021-02-03 09:49:34
2021-01,2호선,37,낙성대(강감찬),"537,010","525,926","71,271","72,698",2021-02-03 09:49:34
2021-01,2호선,38,서울대입구(관악구청),"916,421","908,537","124,673","119,606",2021-02-03 09:49:34
2021-01,2호선,39,봉천,"441,557","415,434","95,201","96,589",2021-02-03 09:49:34
2021-01,2호선,40,신림,"1,281,911","1,254,764","151,505","154,637",2021-02-03 09:49:34
2021-01,2호선,41,신대방,"506,260","495,665","82,607","84,277",2021-02-03 09:49:34
2021-01,2호선,42,구로디지털단지,"1,202,451","1,207,150","114,985","117,229",2021-02-03 09:49:34
2021-01,2호선,43,대림(구로구청),"477,503","488,106","79,442","82,145",2021-02-03 09:49:34
2021-01,2호선,44,신도림,"943,900","919,655","128,882","121,901",2021-02-03 09:49:34
2021-01,2호선,45,문래,"394,529","402,872","51,177","50,609",2021-02-03 09:49:34
2021-01,2호선,46,영등포구청,"424,895","431,204","70,049","69,599",2021-02-03 09:49:34
2021-01,2호선,47,당산,"354,226","404,529","39,341","42,949",2021-02-03 09:49:34
2021-01,2호선,48,합정,"597,755","620,411","44,692","43,856",2021-02-03 09:49:34
2021-01,2호선,49,홍대입구,"1,000,621","1,034,537","63,651","60,858",2021-02-03 09:49:34
2021-01,2호선,50,신촌,"599,460","616,923","81,029","78,159",2021-02-03 09:49:34
2021-01,2호선,51,이대,"214,493","223,649","27,825","28,659",2021-02-03 09:49:34
2021-01,2호선,52,아현,"175,420","171,680","44,199","43,896",2021-02-03 09:49:34
2021-01,2호선,53,충정로(경기대입구),"178,071","184,873","33,208","33,018",2021-02-03 09:49:34
2021-01,2호선,54,용답,"44,853","45,447","13,014","12,219",2021-02-03 09:49:34
2021-01,2호선,55,신답,"26,719","31,907","6,958","7,408",2021-02-03 09:49:34
2021-01,2호선,56,신설동,"55,761","53,829","24,645","26,703",2021-02-03 09:49:34
2021-01,2호선,57,도림천,"25,993","26,728","5,278","5,475",2021-02-03 09:49:34
2021-01,2호선,58,양천구청,"113,614","123,799","29,729","30,349",2021-02-03 09:49:34
2021-01,2호선,59,신정네거리,"168,807","179,006","46,652","48,070",2021-02-03 09:49:34
2021-01,2호선,60,용두(동대문구청),"36,081","37,287","17,062","18,261",2021-02-03 09:49:34
2021-01,3호선,61,지축,"63,031","62,660","11,032","11,267",2021-02-03 09:49:34
2021-01,3호선,62,구파발,"366,499","351,386","73,755","70,699",2021-02-03 09:49:34
2021-01,3호선,63,연신내,"658,531","625,911","173,208","168,433",2021-02-03 09:49:34
2021-01,3호선,64,불광,"269,858","293,710","91,075","99,525",2021-02-03 09:49:34
2021-01,3호선,65,녹번,"272,505","249,145","49,385","49,064",2021-02-03 09:49:34
2021-01,3호선,66,홍제,"280,971","271,456","94,291","93,637",2021-02-03 09:49:34
2021-01,3호선,67,무악재,"66,821","67,817","18,591","20,343",2021-02-03 09:49:34
2021-01,3호선,68,독립문,"102,792","110,609","45,480","44,861",2021-02-03 09:49:34
2021-01,3호선,69,경복궁(정부서울청사),"325,289","318,568","47,208","44,064",2021-02-03 09:49:34
2021-01,3호선,70,안국,"324,138","330,695","40,255","40,490",2021-02-03 09:49:34
2021-01,3호선,71,종로3가,"155,704","183,202","37,701","41,475",2021-02-03 09:49:34
2021-01,3호선,72,을지로3가,"176,303","181,894","38,228","37,099",2021-02-03 09:49:34
2021-01,3호선,73,충무로,24,0,0,0,2021-02-03 09:49:34
2021-01,3호선,74,동대입구,"133,321","139,817","19,526","21,309",2021-02-03 09:49:34
2021-01,3호선,75,약수,"224,959","221,762","53,393","51,065",2021-02-03 09:49:34
2021-01,3호선,76,금호,"144,847","137,631","36,088","36,122",2021-02-03 09:49:34
2021-01,3호선,77,옥수,"157,074","167,915","38,168","38,656",2021-02-03 09:49:34
2021-01,3호선,78,압구정,"624,568","655,951","85,360","82,496",2021-02-03 09:49:34
2021-01,3호선,79,신사,"646,393","663,226","51,224","48,478",2021-02-03 09:49:34
2021-01,3호선,80,잠원,"81,211","81,735","19,004","18,327",2021-02-03 09:49:34
2021-01,3호선,81,고속터미널,"814,493","788,444","105,146","99,960",2021-02-03 09:49:34
2021-01,3호선,82,교대(법원.검찰청),"246,468","161,608","40,722","25,876",2021-02-03 09:49:34
2021-01,3호선,83,남부터미널(예술의전당),"565,088","574,331","73,823","73,482",2021-02-03 09:49:34
2021-01,3호선,84,양재(서초구청),"721,553","772,578","90,660","90,865",2021-02-03 09:49:34
2021-01,3호선,85,매봉,"226,778","216,526","38,722","35,704",2021-02-03 09:49:34
2021-01,3호선,86,도곡,"97,914","100,793","18,399","16,724",2021-02-03 09:49:34
2021-01,3호선,87,대치,"205,066","198,837","39,741","38,119",2021-02-03 09:49:34
2021-01,3호선,88,학여울,"29,356","30,215","8,787","8,372",2021-02-03 09:49:34
2021-01,3호선,89,대청,"167,675","154,805","37,496","36,068",2021-02-03 09:49:34
2021-01,3호선,90,일원,"168,216","165,940","39,902","39,614",2021-02-03 09:49:34
2021-01,3호선,91,수서,"277,753","287,095","65,207","65,003",2021-02-03 09:49:34
2021-01,3호선,92,가락시장,"148,272","145,920","52,552","50,850",2021-02-03 09:49:34
2021-01,3호선,93,경찰병원,"139,709","140,766","28,501","29,415",2021-02-03 09:49:34
2021-01,3호선,94,오금,"116,271","106,110","17,816","17,009",2021-02-03 09:49:34
2021-01,4호선,100,수유(강북구청),"637,363","637,524","130,773","131,081",2021-02-03 09:49:34
2021-01,4호선,101,미아(서울사이버대학),"255,126","248,119","76,131","78,448",2021-02-03 09:49:34
2021-01,4호선,102,미아사거리,"496,245","491,297","123,057","122,670",2021-02-03 09:49:34
2021-01,4호선,103,길음,"359,948","354,134","73,734","74,467",2021-02-03 09:49:34
2021-01,4호선,104,성신여대입구(돈암),"376,624","365,415","55,955","54,124",2021-02-03 09:49:34
2021-01,4호선,105,한성대입구(삼선교),"238,663","237,049","47,523","47,218",2021-02-03 09:49:34
2021-01,4호선,106,혜화,"554,340","547,142","86,695","84,183",2021-02-03 09:49:34
2021-01,4호선,107,동대문,"315,425","328,324","98,966","96,580",2021-02-03 09:49:34
2021-01,4호선,108,동대문역사문화공원(DDP),"280,823","259,955","38,604","34,924",2021-02-03 09:49:34
2021-01,4호선,109,충무로,"456,689","467,343","80,017","80,230",2021-02-03 09:49:34
