사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-01,1호선,1,서울역,445,8,"6,832","4,781","8,835","24,937","27,116","66,431","43,277","145,325","31,927","91,672","29,589","44,874","35,644","36,552","43,336","38,972","44,588","39,053","40,502","37,105","50,240","38,482","58,078","39,890","93,883","45,769","144,127","50,873","72,171","34,653","49,654","23,324","51,601","22,013","20,790","8,189","6,527","3,751",32,398,0,2,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,10,동묘앞,78,2,"2,391",738,"2,761","3,527","4,457","5,734","6,977","14,687","5,588","13,409","6,386","14,013","9,706","19,323","14,318","23,997","19,975","27,026","25,755","26,641","28,426","21,195","27,605","14,522","23,169","10,057","16,419","7,615","6,999","5,208","4,789","3,885","4,265","4,664","1,982","2,495",517,"1,502",1,704,0,8,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,2,시청,18,1,"1,489","2,990","2,235","14,570","4,971","47,793","6,119","131,340","6,335","62,133","7,012","23,760","10,198","19,942","11,459","17,031","13,648","17,361","18,213","15,206","24,043","12,769","27,737","10,571","55,134","10,643","108,895","9,871","41,170","4,716","34,710","3,216","33,243","3,675","9,286","1,306","2,254",629,4,48,0,1,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,3,종각,113,1,"1,852","3,464","2,578","18,288","4,413","77,560","6,631","165,202","7,997","100,421","10,911","42,055","16,566","33,259","20,303","30,355","24,807","32,406","31,147","27,866","41,132","24,197","47,952","23,353","94,486","22,887","153,681","23,132","69,054","10,706","65,480","4,650","66,880","3,814","13,805","1,626","3,108",785,10,100,1,1,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,4,종로3가,109,4,"2,187","2,427","2,374","8,473","3,297","18,316","5,367","52,803","7,144","54,311","13,136","42,285","21,589","40,904","27,183","40,138","33,818","41,532","38,643","39,874","42,923","32,894","45,809","25,998","56,011","20,659","79,064","17,711","43,768","7,957","35,106","3,901","33,741","4,108","8,128","1,572","2,142","1,104",7,194,0,3,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,5,종로5가,157,4,"1,170","2,806","1,933","11,097","3,473","30,990","5,745","86,177","7,670","51,639","12,690","38,927","19,495","35,761","24,775","34,242","29,465","34,614","36,459","34,545","41,052","28,364","46,796","22,094","61,473","17,184","82,698","13,074","38,369","6,821","26,177","3,731","20,639","4,041","5,426","2,073","1,449","1,181",3,159,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,6,동대문,542,15,"11,232","1,512","6,920","4,611","10,340","7,951","14,857","17,036","13,070","16,659","11,682","14,967","13,016","16,227","15,784","17,886","16,952","17,782","19,355","17,424","20,306","16,095","20,926","14,624","20,108","14,745","19,005","15,122","12,907","15,188","11,741","10,244","9,187","10,156","4,139","6,416","1,426","6,405",6,999,0,2,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,7,신설동,279,3,"6,413","2,235","6,769","7,410","13,739","18,243","19,137","48,070","12,766","28,106","11,310","16,316","12,868","15,035","14,144","15,547","16,963","16,126","17,564","15,538","18,799","15,573","22,733","15,417","33,392","16,980","48,075","21,175","17,757","15,251","13,613","10,184","10,978","11,633","3,813","5,699","1,156","2,747",9,194,0,0,1,0,0,0,2021-02-03 09:49:40
2021-01,1호선,8,제기동,271,3,"3,964","1,561","6,349","5,866","15,914","15,109","24,375","32,855","16,498","27,133","18,389","30,132","25,596","35,839","32,622","36,962","37,045","40,011","40,870","41,860","42,216","34,951","35,715","25,003","33,310","18,808","30,408","21,250","12,792","15,650","9,330","10,291","8,422","11,266","4,617","5,465","1,601","2,380",5,189,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,1호선,9,청량리(서울시립대입구),860,16,"8,101","3,523","11,290","14,457","28,669","12,303","36,183","28,638","24,516","23,842","22,908","27,766","26,819","32,216","31,821","34,555","35,026","36,799","39,781","41,860","43,135","38,632","43,645","33,122","39,305","31,091","33,065","38,281","17,157","26,198","14,256","15,871","10,439","18,652","3,632","8,591","1,009","3,651",11,438,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,11,시청,12,1,830,"1,241","1,438","10,200","4,133","55,307","5,609","170,817","6,782","71,767","8,528","19,791","12,957","14,372","12,403","14,342","15,432","14,847","20,107","14,073","23,855","12,361","27,210","10,141","64,690","10,422","138,358","9,718","48,353","4,458","33,310","2,639","32,628","3,513","8,700","1,310","1,767",724,9,47,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,12,을지로입구,38,3,"1,350","1,524","2,530","20,876","6,057","96,915","9,537","236,987","10,076","123,639","11,928","51,604","18,000","41,545","22,386","33,687","29,648","33,180","35,485","30,294","45,779","26,356","53,768","24,456","116,958","25,338","197,433","25,629","86,998","12,932","88,078","7,796","54,037","8,637","13,739","3,095","2,783","1,302",6,614,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,13,을지로3가,6,0,748,"1,401","1,666","14,077","3,943","54,464","6,519","125,335","7,272","57,003","7,942","24,295","10,560","17,598","12,023","16,012","14,508","17,561","18,556","16,011","22,100","14,105","28,616","13,099","59,420","13,296","107,331","13,342","44,910","6,012","32,984","3,474","34,558","4,246","9,704","1,617","2,108",700,0,71,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,14,을지로4가,5,0,847,983,"1,115","10,536","2,485","25,329","4,406","63,837","5,198","38,119","6,803","21,753","9,710","17,836","12,515","15,903","13,552","15,534","17,509","15,692","19,990","12,765","24,140","10,015","42,010","8,517","58,605","6,581","26,975","3,987","14,604","2,146","12,474","2,816","4,176","1,128","1,164",562,0,43,0,0,0,0,0,0,2021-02-03 09:49:40
